,state,drug_name,year,grams
0,ALABAMA,ALFENTANIL,2006,0.56
1,ALABAMA,ALFENTANIL,2007,0.77
2,ALABAMA,ALFENTANIL,2008,2.65
3,ALABAMA,ALFENTANIL,2009,1.61
4,ALABAMA,ALFENTANIL,2010,0.78
5,ALABAMA,ALFENTANIL,2011,1.18
6,ALABAMA,ALFENTANIL,2012,1.12
7,ALABAMA,ALFENTANIL,2013,0.49
8,ALABAMA,ALFENTANIL,2014,0.34
9,ALABAMA,ALFENTANIL,2015,0.22
10,ALABAMA,AMOBARBITAL (SCHEDULE 2),2006,59.2
11,ALABAMA,AMOBARBITAL (SCHEDULE 2),2007,86.54
12,ALABAMA,AMOBARBITAL (SCHEDULE 2),2008,159.51
13,ALABAMA,AMOBARBITAL (SCHEDULE 2),2009,41.46
14,ALABAMA,AMOBARBITAL (SCHEDULE 2),2010,25.52
15,ALABAMA,AMOBARBITAL (SCHEDULE 2),2011,25.99
16,ALABAMA,AMOBARBITAL (SCHEDULE 2),2012,25.99
17,ALABAMA,AMOBARBITAL (SCHEDULE 2),2013,18.23
18,ALABAMA,AMOBARBITAL (SCHEDULE 2),2014,13.22
19,ALABAMA,AMOBARBITAL (SCHEDULE 2),2015,5.02
20,ALABAMA,AMPHETAMINE,2006,197442.98
21,ALABAMA,AMPHETAMINE,2007,244252.51
22,ALABAMA,AMPHETAMINE,2008,404598.08
23,ALABAMA,AMPHETAMINE,2009,263886.77
24,ALABAMA,AMPHETAMINE,2010,299480.29
25,ALABAMA,AMPHETAMINE,2011,333026.12
26,ALABAMA,AMPHETAMINE,2012,378910.95
27,ALABAMA,AMPHETAMINE,2013,405981.03
28,ALABAMA,AMPHETAMINE,2014,451874.1
29,ALABAMA,AMPHETAMINE,2015,482719.03
30,ALABAMA,BARBITURIC ACID DERIVIATIVE OR SALT [PER 21CFR 1,2013,595.5
31,ALABAMA,BUPRENORPHINE,2006,7010.97
32,ALABAMA,BUPRENORPHINE,2007,11964.85
33,ALABAMA,BUPRENORPHINE,2008,37405.97
34,ALABAMA,BUPRENORPHINE,2009,29221.73
35,ALABAMA,BUPRENORPHINE,2010,35389
36,ALABAMA,BUPRENORPHINE,2011,42419.78
37,ALABAMA,BUPRENORPHINE,2012,54571.63
38,ALABAMA,BUPRENORPHINE,2013,64223.04
39,ALABAMA,BUPRENORPHINE,2014,71176.24
40,ALABAMA,BUPRENORPHINE,2015,82653.72
41,ALABAMA,BUTALBITAL,2006,47990
42,ALABAMA,BUTALBITAL,2007,52275
43,ALABAMA,BUTALBITAL,2008,58645
44,ALABAMA,BUTALBITAL,2009,30425
45,ALABAMA,BUTALBITAL,2010,37080.6
46,ALABAMA,BUTALBITAL,2011,43965
47,ALABAMA,BUTALBITAL,2012,42005
48,ALABAMA,BUTALBITAL,2013,44993
49,ALABAMA,BUTALBITAL,2014,38158.5
